2024/12/20 20:46:09 INFO El módulo CPU está a la escucha en el puerto :8004
2024/12/20 20:47:05 INFO ## PID: 1 TID: 2 - Ejecutando: SUB - [CX BX].
2024/12/20 20:47:05 INFO ## PID: 1 TID: 2 - FETCH - Program Counter: 3.
2024/12/20 20:47:05 INFO ## PID: 1 TID: 2 - Ejecutando: JNZ - [CX 2].
2024/12/20 20:47:06 INFO ## PID: 1 TID: 2 - FETCH - Program Counter: 2.
2024/12/20 20:47:06 INFO ## PID: 1 TID: 2 - Ejecutando: SUB - [CX BX].
2024/12/20 20:47:06 INFO ## PID: 1 TID: 2 - FETCH - Program Counter: 3.
2024/12/20 20:47:06 INFO ## PID: 1 TID: 2 - Ejecutando: JNZ - [CX 2].
2024/12/20 20:47:07 INFO ## PID: 1 TID: 2 - FETCH - Program Counter: 2.
2024/12/20 20:47:07 INFO ## PID: 1 TID: 2 - Ejecutando: SUB - [CX BX].
2024/12/20 20:47:07 INFO ## PID: 1 TID: 2 - FETCH - Program Counter: 3.
2024/12/20 20:47:07 INFO ## PID: 1 TID: 2 - Ejecutando: JNZ - [CX 2].
2024/12/20 20:47:08 INFO ## PID: 1 TID: 2 - FETCH - Program Counter: 4.
2024/12/20 20:47:08 INFO ## PID: 1 TID: 2 - Ejecutando: THREAD_EXIT - [].
2024/12/20 20:47:08 INFO ## PID 1 - TID: 3 - Solicito Contexto Ejecución.
2024/12/20 20:47:09 INFO ## PID: 1 TID: 3 - FETCH - Program Counter: 0.
2024/12/20 20:47:09 INFO ## PID: 1 TID: 3 - Ejecutando: SET - [CX 5].
2024/12/20 20:47:09 INFO ## PID: 1 TID: 3 - FETCH - Program Counter: 1.
2024/12/20 20:47:09 INFO ## PID: 1 TID: 3 - Ejecutando: SET - [BX 1].
2024/12/20 20:47:10 INFO ## PID: 1 TID: 3 - FETCH - Program Counter: 2.
2024/12/20 20:47:10 INFO ## PID: 1 TID: 3 - Ejecutando: SUB - [CX BX].
2024/12/20 20:47:10 INFO ## PID: 1 TID: 3 - FETCH - Program Counter: 3.
2024/12/20 20:47:10 INFO ## PID: 1 TID: 3 - Ejecutando: JNZ - [CX 2].
2024/12/20 20:47:11 INFO ## PID: 1 TID: 3 - FETCH - Program Counter: 2.
2024/12/20 20:47:11 INFO ## PID: 1 TID: 3 - Ejecutando: SUB - [CX BX].
2024/12/20 20:47:11 INFO ## PID: 1 TID: 3 - FETCH - Program Counter: 3.
2024/12/20 20:47:11 INFO ## PID: 1 TID: 3 - Ejecutando: JNZ - [CX 2].
2024/12/20 20:47:12 INFO ## PID: 1 TID: 3 - FETCH - Program Counter: 2.
2024/12/20 20:47:12 INFO ## PID: 1 TID: 3 - Ejecutando: SUB - [CX BX].
2024/12/20 20:47:12 INFO ## PID: 1 TID: 3 - FETCH - Program Counter: 3.
2024/12/20 20:47:12 INFO ## PID: 1 TID: 3 - Ejecutando: JNZ - [CX 2].
2024/12/20 20:47:13 INFO ## PID: 1 TID: 3 - FETCH - Program Counter: 2.
2024/12/20 20:47:13 INFO ## PID: 1 TID: 3 - Ejecutando: SUB - [CX BX].
2024/12/20 20:47:13 INFO ## PID: 1 TID: 3 - FETCH - Program Counter: 3.
2024/12/20 20:47:13 INFO ## PID: 1 TID: 3 - Ejecutando: JNZ - [CX 2].
2024/12/20 20:47:14 INFO ## PID: 1 TID: 3 - FETCH - Program Counter: 2.
2024/12/20 20:47:14 INFO ## PID: 1 TID: 3 - Ejecutando: SUB - [CX BX].
2024/12/20 20:47:14 INFO ## PID: 1 TID: 3 - FETCH - Program Counter: 3.
2024/12/20 20:47:14 INFO ## PID: 1 TID: 3 - Ejecutando: JNZ - [CX 2].
2024/12/20 20:47:15 INFO ## PID: 1 TID: 3 - FETCH - Program Counter: 4.
2024/12/20 20:47:15 INFO ## PID: 1 TID: 3 - Ejecutando: THREAD_EXIT - [].
2024/12/20 20:47:15 INFO ## PID 1 - TID: 4 - Solicito Contexto Ejecución.
2024/12/20 20:47:16 INFO ## PID: 1 TID: 4 - FETCH - Program Counter: 0.
2024/12/20 20:47:16 INFO ## PID: 1 TID: 4 - Ejecutando: SET - [CX 5].
2024/12/20 20:47:16 INFO ## PID: 1 TID: 4 - FETCH - Program Counter: 1.
2024/12/20 20:47:16 INFO ## PID: 1 TID: 4 - Ejecutando: SET - [BX 1].
2024/12/20 20:47:17 INFO ## PID: 1 TID: 4 - FETCH - Program Counter: 2.
2024/12/20 20:47:17 INFO ## PID: 1 TID: 4 - Ejecutando: SUB - [CX BX].
2024/12/20 20:47:17 INFO ## PID: 1 TID: 4 - FETCH - Program Counter: 3.
2024/12/20 20:47:17 INFO ## PID: 1 TID: 4 - Ejecutando: JNZ - [CX 2].
2024/12/20 20:47:18 INFO ## PID: 1 TID: 4 - FETCH - Program Counter: 2.
2024/12/20 20:47:18 INFO ## PID: 1 TID: 4 - Ejecutando: SUB - [CX BX].
2024/12/20 20:47:18 INFO ## PID: 1 TID: 4 - FETCH - Program Counter: 3.
2024/12/20 20:47:18 INFO ## PID: 1 TID: 4 - Ejecutando: JNZ - [CX 2].
2024/12/20 20:47:19 INFO ## PID: 1 TID: 4 - FETCH - Program Counter: 2.
2024/12/20 20:47:19 INFO ## PID: 1 TID: 4 - Ejecutando: SUB - [CX BX].
2024/12/20 20:47:19 INFO ## PID: 1 TID: 4 - FETCH - Program Counter: 3.
2024/12/20 20:47:19 INFO ## PID: 1 TID: 4 - Ejecutando: JNZ - [CX 2].
2024/12/20 20:47:20 INFO ## PID: 1 TID: 4 - FETCH - Program Counter: 2.
2024/12/20 20:47:20 INFO ## PID: 1 TID: 4 - Ejecutando: SUB - [CX BX].
2024/12/20 20:47:20 INFO ## PID: 1 TID: 4 - FETCH - Program Counter: 3.
2024/12/20 20:47:20 INFO ## PID: 1 TID: 4 - Ejecutando: JNZ - [CX 2].
2024/12/20 20:47:21 INFO ## PID: 1 TID: 4 - FETCH - Program Counter: 2.
2024/12/20 20:47:21 INFO ## PID: 1 TID: 4 - Ejecutando: SUB - [CX BX].
2024/12/20 20:47:21 INFO ## PID: 1 TID: 4 - FETCH - Program Counter: 3.
2024/12/20 20:47:21 INFO ## PID: 1 TID: 4 - Ejecutando: JNZ - [CX 2].
2024/12/20 20:47:22 INFO ## PID: 1 TID: 4 - FETCH - Program Counter: 4.
2024/12/20 20:47:22 INFO ## PID: 1 TID: 4 - Ejecutando: THREAD_EXIT - [].
2024/12/20 20:47:22 INFO ## PID 1 - TID: 0 - Solicito Contexto Ejecución.
2024/12/20 20:47:23 INFO ## PID: 1 TID: 0 - FETCH - Program Counter: 11.
2024/12/20 20:47:23 INFO ## PID: 1 TID: 0 - Ejecutando: PROCESS_EXIT - [].
